Property,Datatype,Description
Name,String,The name of the source of a term; i.e. the source controlled vocabulary or ontology. These names will be used to reference the Ontology Source from an Ontology Annotation.
File,String,A file name or a URI of an official resource.
Version,String,The version number of the Term Source to support terms tracking.   
